#
AtToneMET.seconds,          16,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
AtToneMET.subseconds,       20,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
AtToneSTCF.seconds,         24,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
AtToneSTCF.subseconds,      28,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
AtToneDelay.seconds,        32,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
AtToneDelay.subseconds,     36,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
AtToneLatch.seconds,        40,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
AtToneLatch.subseconds,     44,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
AtToneLeapSeconds,          48,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
ClockStateAPI,              50,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
TimeSinceTone.seconds,      52,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
TimeSinceTone.subseconds,   56,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
CurrentLatch.seconds,       60,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
CurrentLatch.subseconds,    64,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
CurrentMET.seconds,         68,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
CurrentMET.subseconds,      72,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
CurrentTAI.seconds,         76,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
CurrentTAI.subseconds,      80,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
CurrentUTC.seconds,         84,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
CurrentUTC.subseconds,      88,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
ClockSetState,              92,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
ClockFlyState,              94,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
ClockSource,                96,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
ClockSignal,                98,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
ServerFlyState,            100,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
Forced2Fly,                102,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
ClockStateFlags,           104,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
OneTimeDirection,          106,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
OneHzDirection,            108,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
DelayDirection,            110,   2,   H,   Dec,   NULL,   NULL,   NULL,   NULL
OneTimeAdjust.seconds,     112,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
OneTimeAdjust.subseconds,  116,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
OneHzAdjust.seconds,       120,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
OneHzAdjust.subseconds,    124,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
ToneSignalLatch.seconds,   128,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
ToneSignalLatch.subseconds,132,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
ToneDataLatch.seconds,     136,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
ToneDataLatch.subseconds,  140,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
ToneMatchCounter,          144,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
ToneMatchErrorCounter,     148,   4,   I,   Dec,   NULL,   NULL,   NULL,   NULL
